minecraft:missingno	x=0	y=896	w=16	h=16
minecraft:trims/models/armor/vex_netherite	x=512	y=704	w=64	h=32
minecraft:trims/models/armor/vex_netherite_darker	x=576	y=704	w=64	h=32
minecraft:trims/models/armor/vex_quartz	x=640	y=704	w=64	h=32
minecraft:trims/models/armor/vex_redstone	x=704	y=704	w=64	h=32
minecraft:trims/models/armor/ward_amethyst	x=768	y=704	w=64	h=32
minecraft:trims/models/armor/ward_copper	x=832	y=704	w=64	h=32
minecraft:trims/models/armor/ward_diamond	x=896	y=704	w=64	h=32
minecraft:trims/models/armor/ward_diamond_darker	x=960	y=704	w=64	h=32
minecraft:trims/models/armor/ward_emerald	x=0	y=736	w=64	h=32
minecraft:trims/models/armor/ward_gold	x=64	y=736	w=64	h=32
minecraft:trims/models/armor/ward_gold_darker	x=128	y=736	w=64	h=32
minecraft:trims/models/armor/ward_iron	x=192	y=736	w=64	h=32
minecraft:trims/models/armor/ward_iron_darker	x=256	y=736	w=64	h=32
minecraft:trims/models/armor/ward_lapis	x=320	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_amethyst	x=384	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_copper	x=448	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_diamond	x=512	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_diamond_darker	x=576	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_emerald	x=640	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_gold	x=704	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_gold_darker	x=768	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_iron	x=832	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_iron_darker	x=896	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_lapis	x=960	y=736	w=64	h=32
minecraft:trims/models/armor/ward_leggings_netherite	x=0	y=768	w=64	h=32
minecraft:trims/models/armor/ward_leggings_netherite_darker	x=64	y=768	w=64	h=32
minecraft:trims/models/armor/ward_leggings_quartz	x=128	y=768	w=64	h=32
minecraft:trims/models/armor/ward_leggings_redstone	x=192	y=768	w=64	h=32
minecraft:trims/models/armor/ward_netherite	x=256	y=768	w=64	h=32
minecraft:trims/models/armor/ward_netherite_darker	x=320	y=768	w=64	h=32
minecraft:trims/models/armor/ward_quartz	x=384	y=768	w=64	h=32
minecraft:trims/models/armor/ward_redstone	x=448	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_amethyst	x=512	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_copper	x=576	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_diamond	x=640	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_diamond_darker	x=704	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_emerald	x=768	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_gold	x=832	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_gold_darker	x=896	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_iron	x=960	y=768	w=64	h=32
minecraft:trims/models/armor/wayfinder_iron_darker	x=0	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_lapis	x=64	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_amethyst	x=128	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_copper	x=192	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_diamond	x=256	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_diamond_darker	x=320	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_emerald	x=384	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_gold	x=448	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_gold_darker	x=512	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_iron	x=576	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_iron_darker	x=640	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_lapis	x=704	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_netherite	x=768	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_netherite_darker	x=832	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_quartz	x=896	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_leggings_redstone	x=960	y=800	w=64	h=32
minecraft:trims/models/armor/wayfinder_netherite	x=0	y=832	w=64	h=32
minecraft:trims/models/armor/wayfinder_netherite_darker	x=64	y=832	w=64	h=32
minecraft:trims/models/armor/wayfinder_quartz	x=128	y=832	w=64	h=32
minecraft:trims/models/armor/wayfinder_redstone	x=192	y=832	w=64	h=32
minecraft:trims/models/armor/wild_amethyst	x=256	y=832	w=64	h=32
minecraft:trims/models/armor/wild_copper	x=320	y=832	w=64	h=32
minecraft:trims/models/armor/wild_diamond	x=384	y=832	w=64	h=32
minecraft:trims/models/armor/wild_diamond_darker	x=448	y=832	w=64	h=32
minecraft:trims/models/armor/wild_emerald	x=512	y=832	w=64	h=32
minecraft:trims/models/armor/wild_gold	x=576	y=832	w=64	h=32
minecraft:trims/models/armor/wild_gold_darker	x=640	y=832	w=64	h=32
minecraft:trims/models/armor/wild_iron	x=704	y=832	w=64	h=32
minecraft:trims/models/armor/wild_iron_darker	x=768	y=832	w=64	h=32
minecraft:trims/models/armor/wild_lapis	x=832	y=832	w=64	h=32
minecraft:trims/models/armor/wild_leggings_amethyst	x=896	y=832	w=64	h=32
minecraft:trims/models/armor/wild_leggings_copper	x=960	y=832	w=64	h=32
minecraft:trims/models/armor/wild_leggings_diamond	x=0	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_diamond_darker	x=64	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_emerald	x=128	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_gold	x=192	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_gold_darker	x=256	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_iron	x=320	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_iron_darker	x=384	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_lapis	x=448	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_netherite	x=512	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_netherite_darker	x=576	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_quartz	x=640	y=864	w=64	h=32
minecraft:trims/models/armor/wild_leggings_redstone	x=704	y=864	w=64	h=32
minecraft:trims/models/armor/wild_netherite	x=768	y=864	w=64	h=32
minecraft:trims/models/armor/wild_netherite_darker	x=832	y=864	w=64	h=32
minecraft:trims/models/armor/wild_quartz	x=896	y=864	w=64	h=32
minecraft:trims/models/armor/wild_redstone	x=960	y=864	w=64	h=32
